rank,company,income,profit,nation
1,沃尔玛（WALMART),559151,13510,美国
2,国家电网有限公司（STATE GRID),386617.7,5580.4,中国
3,亚马逊（AMAZON.COM),386064,21331,美国
4,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),283957.6,4575.2,中国
5,中国石油化工集团有限公司（SINOPEC GROUP),283727.6,6205.2,中国
6,苹果公司（APPLE),274515,57411,美国
7,CVSHealth公司（CVS HEALTH),268706,7179,美国
8,联合健康集团（UNITEDHEALTH GROUP),257141,15403,美国
9,丰田汽车公司（TOYOTA MOTOR),256721.7,21180.1,日本
10,大众公司（VOLKSWAGEN),253965,10103.5,德国
11,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),245510,42521,美国
12,麦克森公司（MCKESSON),238228,-4539,美国
13,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),234425,3578.4,中国
14,沙特阿美公司（SAUDI ARAMCO),229766.2,49286.8,沙特阿拉伯
15,三星电子（SAMSUNG ELECTRONICS),200734.4,22116.4,韩国
16,中国平安保险（集团）股份有限公司（PING AN INSURANCE),191509.4,20738.9,中国
17,美源伯根公司（AMERISOURCEBERGEN),189893.9,-3408.7,美国
18,英国石油公司（BP),183500,-20305,英国
19,荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),183195,-21680,荷兰
20,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),182794.4,45783.4,中国
21,Alphabet公司（ALPHABET),182527,40269,美国
22,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),181945.4,3456.7,中国
23,埃克森美孚（EXXON MOBIL),181502,-22440,美国
24,戴姆勒股份公司（DAIMLER),175827.3,4132.8,德国
25,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),172000.2,39282.5,中国
26,美国电话电报公司（AT&T),171760,-5176,美国
27,开市客（COSTCO WHOLESALE),166761,4002,美国
28,信诺（CIGNA),160401,8458,美国
29,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),153884.6,31293.4,中国
30,嘉德诺（CARDINAL HEALTH),152922,-3696,美国
